"","ClaimDate","ClaimAmount"
"322","2024-02-06",7174.5
"323","2023-01-10",6635.95
"324","2022-09-07",2871.35
"325","2023-01-22",9553.17
"326","2024-05-05",7405.18
"327","2022-08-21",5588.11
"328","2024-03-09",6156.04
"329","2023-07-28",4254.04
"330","2023-01-10",2552.54
"331","2022-10-18",3624.13
"332","2024-06-21",7602.68
"333","2023-12-09",242.5
"334","2024-05-09",1249.12
"335","2022-10-11",555.43
"336","2024-04-14",503.22
"337","2022-11-30",8569.06
"338","2022-08-16",7066.21
"339","2023-07-31",4794.32
"340","2023-10-26",1068.56
"341","2022-09-24",4967
"342","2024-03-04",4787.37
"343","2023-09-26",1814.7
"344","2022-07-26",4395.13
"345","2023-07-24",4045.2
"346","2022-12-31",6196.92
"347","2024-04-01",6387.43
"348","2023-06-02",548.51
"349","2023-02-14",3808.66
"350","2023-11-29",6296.01
"351","2023-05-18",5081.05
"352","2024-01-17",8579.25
"353","2024-03-15",6621.07
"354","2024-01-21",1713.05
"355","2023-12-27",798.63
"356","2024-05-02",6459.95
"357","2023-10-11",362.46
"358","2022-09-17",5899.18
"359","2023-09-07",9408.28
"360","2024-02-28",5797.19
"361","2022-07-18",3942.88
"362","2024-07-07",6468.55
"363","2023-04-24",4636.7
"364","2023-02-05",5501.61
"365","2023-10-18",9420.5
"366","2024-03-25",3922.42
"367","2024-06-13",9615.79
"368","2023-02-06",9062.97
"369","2023-05-21",2038.33
"370","2022-08-28",786.68
"371","2023-10-05",1097.7
"372","2024-07-07",280.4
"373","2022-12-12",1034.99
"374","2024-01-11",6861.77
"375","2023-10-06",804.77
"376","2023-09-07",3257.86
"377","2024-03-27",8464.27
"378","2023-05-23",330.39
"379","2023-04-15",8163.24
"380","2023-06-12",2890.36
"381","2023-11-08",1269.83
"382","2023-07-11",6997.7
"383","2022-08-07",6326.53
"384","2023-09-03",8786.97
"385","2022-11-07",7377.2
"386","2023-01-26",8054.46
"387","2022-10-20",2892.14
"388","2023-04-07",1856.65
"389","2023-02-28",7531.09
"390","2023-09-05",8087.66
"391","2023-10-17",9906
"392","2023-02-23",4184.92
"393","2022-11-13",3782.98
"394","2022-07-31",7786.49
"395","2022-08-02",3473.96
"396","2022-11-09",9314.5
"397","2024-06-07",8598.29
"398","2023-06-03",4347.04
"399","2023-03-15",7533.62
"400","2023-08-27",7569.97
"401","2023-01-21",1120.93
"402","2023-01-07",9035.27
"403","2023-09-02",5102
"404","2023-03-18",8281.93
"405","2022-08-21",3268.49
"406","2024-06-27",8965.68
"407","2023-09-03",3953.1
"408","2022-10-06",207.29
"409","2022-11-09",9063.28
"410","2024-03-28",1003.74
"411","2022-07-12",3261.21
"412","2023-03-22",9505.61
"413","2023-11-30",9511.01
"414","2024-05-23",5777.04
"415","2023-09-03",6355.19
"416","2023-06-27",4539.61
"417","2023-03-17",3002.79
"418","2023-09-07",3353.78
"419","2022-10-28",6757.93
"420","2023-10-15",7548.51
"421","2022-12-06",7936.63
"422","2022-08-04",7917.22
"423","2022-08-20",1002.94
"424","2024-04-14",4994.76
"425","2024-01-03",669.83
"426","2022-11-01",5540.34
"427","2024-01-20",4471.15
"428","2023-11-14",8888.27
"429","2023-05-24",3574.06
"430","2023-07-13",1258.96
"431","2024-01-03",1515.62
"432","2024-01-20",7638.96
"433","2024-06-07",6220.36
"434","2024-04-11",1101.11
"435","2023-09-02",932.66
"436","2024-03-17",7039.59
"437","2022-09-16",820.35
"438","2023-06-13",8236.41
"439","2023-03-23",7091.8
"440","2023-12-31",905.35
"441","2023-09-11",939.89
"442","2022-08-19",9867.73
"443","2023-12-02",3805.28
"444","2022-09-15",3769.36
"445","2022-07-25",8146.72
"446","2023-10-15",9477.76
"447","2024-05-25",9861.41
"448","2023-06-30",7558.44
"449","2023-03-26",3824.97
"450","2023-03-17",926.66
"451","2024-03-21",7793.75
"452","2022-09-25",5628.2
"453","2023-03-14",4299.8
"454","2023-06-16",9072.91
"455","2023-01-22",1200.86
"456","2023-11-27",4976.99
"457","2022-08-23",212.4
"458","2023-09-17",4739.74
"459","2023-05-21",657.4
"460","2022-11-30",1276.3
"461","2023-08-16",1263.51
"462","2023-04-12",6527.18
"463","2023-11-30",7485.84
"464","2023-01-02",5875.35
"465","2023-05-06",9625.51
"466","2024-06-05",3811.22
"467","2024-03-27",2928.55
"468","2022-10-28",8699.13
"469","2023-07-07",2313.6
"470","2022-11-20",9635.9
"471","2023-06-02",220.33
"472","2024-02-22",9701.8
"473","2023-01-17",527.28
"474","2024-02-19",8922.32
"475","2023-05-12",5324.24
"476","2022-10-21",9930.35
"477","2023-12-10",830.59
"478","2023-01-08",5583.16
"479","2022-10-05",9696.1
"480","2023-03-12",5278.67
"481","2023-02-27",6331.05
"482","2023-11-09",6987.91
"483","2024-06-25",4599.96
"484","2023-06-11",6312.82
"485","2023-01-30",5884.71
"486","2023-05-31",9021.46
"487","2024-06-06",549.92
"488","2023-09-20",2881.54
"489","2023-02-13",9509.07
"490","2023-10-04",8913.61
"491","2023-02-22",4611
"492","2024-03-24",6239.31
"493","2022-12-09",2846.07
"494","2023-10-03",1962.4
"495","2022-12-11",4690.61
"496","2023-06-20",3598.19
"497","2024-04-09",5878.2
"498","2022-11-06",869.57
"499","2024-05-16",9746.51
"500","2023-04-05",9863.49
"501","2024-01-10",7011.8
"502","2024-03-26",5407.35
"503","2023-07-21",3164.32
"504","2024-04-25",8156.57
"505","2023-03-22",6878.84
"506","2022-11-30",1709.91
"507","2022-11-01",9118.18
"508","2023-12-26",8243.12
"509","2023-11-27",9503.02
"510","2023-08-28",7284.62
"511","2022-09-13",6172.81
"512","2022-08-26",4240.61
"513","2023-05-28",9334.01
"514","2023-02-27",8674.03
"515","2024-01-19",547.66
"516","2023-09-27",361.03
"517","2023-06-14",3826.99
"518","2024-03-17",8124.48
"519","2023-05-27",9874.03
"520","2024-02-12",1589.13
"521","2023-04-27",5981.89
"522","2022-09-06",3870.82
"523","2024-05-23",9702.15
"524","2023-11-03",8436.98
"525","2024-03-29",8399.45
"526","2024-05-19",4740.06
"527","2024-04-13",4206.71
"528","2022-09-18",2806.73
"529","2022-08-17",658.12
"530","2024-04-23",8660.75
"531","2024-03-24",8147.72
"532","2024-02-29",9997.2
"533","2023-10-06",9966.7
"534","2022-10-15",5598.77
"535","2023-08-13",7712.98
"536","2023-02-05",9453.18
"537","2023-10-19",8511.51
"538","2024-03-19",2548.75
"539","2023-06-11",4560.39
"540","2022-09-10",1378.68
"541","2024-02-02",9545.11
"542","2023-10-18",6101.13
"543","2023-06-01",2363.56
"544","2022-12-13",6749.84
"545","2023-06-04",6219.47
"546","2023-06-10",3645.81
"547","2023-05-09",1224.22
"548","2023-04-22",6748.57
"549","2022-11-17",5251.05
"550","2023-10-19",7745.95
"551","2023-04-19",5249.62
"552","2024-03-23",8536.6
"553","2023-10-02",5563.88
"554","2023-09-10",5653.29
"555","2023-11-11",8778.87
"556","2023-07-23",4094.48
"557","2023-12-04",1426.75
"558","2024-06-24",384.95
"559","2024-06-06",7575.86
"560","2023-03-28",6241.06
"561","2023-10-13",7070.39
"562","2023-08-30",2208.35
"563","2023-04-14",1450.08
"564","2022-08-30",243.99
"565","2022-11-05",3570.82
"566","2024-02-16",5940.19
"567","2022-11-30",3983.22
"568","2023-05-27",4431
"569","2024-05-30",9051.17
"570","2023-10-27",3547.73
"571","2023-06-02",5188.5
"572","2022-07-30",7858.16
"573","2023-07-09",4025.77
"574","2022-12-06",6258.66
"575","2023-05-28",8637.4
"576","2024-03-22",9500.25
"577","2022-07-19",1556.03
"578","2023-08-23",9273.22
"579","2023-03-21",4971.95
"580","2023-03-27",2656.62
"581","2023-01-02",4645.44
"582","2022-10-21",9802.32
"583","2024-03-12",4976.92
"584","2022-08-11",3354.64
"585","2023-03-09",6370.67
"586","2023-05-29",2477.44
"587","2024-02-21",851.05
"588","2023-09-03",1375.91
"589","2022-11-05",1367.65
"590","2024-02-20",1603.84
"591","2023-01-13",1474.39
"592","2022-10-11",6444.66
"593","2023-05-05",1900.61
"594","2023-01-26",3522.11
"595","2023-03-21",8978.21
"596","2023-08-21",4792.22
"597","2024-03-16",6708.82
"598","2023-07-12",1805.97
"599","2023-04-03",2003.66
"600","2023-06-11",504.6
"601","2023-02-24",1772.46
"602","2023-10-25",2858.04
"603","2022-09-24",1852.4
"604","2023-10-23",978.16
"605","2023-02-25",1294.3
"606","2024-07-07",4661.71
"607","2023-05-02",2142.7
"608","2022-10-19",3706.27
"609","2024-04-01",5083.83
"610","2024-02-18",6934.91
"611","2024-01-17",489.19
"612","2024-01-01",8014.16
"613","2024-03-09",6316.21
"614","2022-09-08",909.41
"615","2023-07-15",8748.43
"616","2023-01-05",9216.64
"617","2022-11-16",704.67
"618","2024-02-09",2841.09
"619","2023-04-08",8081.39
"620","2024-03-28",7507.77
"621","2023-02-19",1926.76
"622","2023-10-09",2172.56
"623","2024-02-17",3767.67
"624","2023-03-03",4896.78
"625","2023-07-18",6220.72
"626","2022-10-30",3752.25
"627","2022-07-18",4679.09
"628","2023-06-14",7499.96
"629","2023-07-10",463.16
"630","2022-09-14",2599.13
"631","2024-05-21",7162.16
"632","2023-11-29",8962.55
"633","2023-03-01",5165.61
"634","2023-09-10",5367.92
"635","2022-08-01",1161
"636","2023-08-20",4529.38
"637","2023-06-30",5372.91
"638","2023-07-27",2500.46
"639","2023-02-19",2765.51
"640","2024-02-29",3835.11
"641","2022-10-22",298.7
"642","2023-04-27",3288.58
"643","2022-08-20",2193.34
"644","2022-12-06",3342.22
"645","2022-11-28",1285.65
"646","2023-03-03",8916.22
"647","2024-02-29",5976.57
"648","2024-04-23",6823.11
"649","2022-10-18",7912.8
"650","2023-01-06",5034.58
"651","2022-11-26",960.51
"652","2023-10-29",5417.35
"653","2024-01-04",5909.73
"654","2023-04-29",7479.85
"655","2022-11-21",4373.43
"656","2022-07-27",1363.04
"657","2022-11-09",2909.38
"658","2022-07-26",3694.51
"659","2022-08-02",6494.58
"660","2024-01-25",5750.71
"661","2022-11-01",3625.36
"662","2023-05-17",9866.5
"663","2023-04-08",6097.17
"664","2022-12-16",2448.55
"665","2023-10-29",1107.65
"666","2022-09-24",1613.31
"667","2023-06-12",2534.98
"668","2023-04-25",1690.75
"669","2024-02-15",1947.01
"670","2024-02-04",2922.44
"671","2023-11-11",1816.4
"672","2022-08-28",8977.98
"673","2023-04-18",894.31
"674","2023-04-05",5292.66
"675","2024-04-12",4162.93
"676","2022-11-03",9825.55
"677","2022-08-02",1209.19
"678","2023-12-31",4038.77
"679","2024-06-23",9697.76
"680","2022-10-15",8668.52
"681","2022-08-15",8189.01
"682","2022-12-20",2653.24
"683","2024-04-14",1791.79
"684","2024-04-18",6719.57
"685","2023-03-16",9300.82
"686","2022-09-17",5611.95
"687","2023-08-30",5758.97
"688","2022-12-10",2871.79
"689","2023-09-27",7717.98
"690","2022-08-27",1951.73
"691","2024-04-07",3304.42
"692","2023-11-13",4311.82
"693","2023-02-26",5125.34
"694","2023-09-28",2499.86
"695","2022-12-31",1236.88
"696","2023-11-19",6145.14
"697","2022-08-28",2957.44
"698","2023-07-29",5854.26
"699","2024-05-21",1628.19
"700","2024-02-06",4863.29
"701","2023-02-25",5372.64
"702","2023-05-07",613.05
"703","2023-05-23",3432.38
"704","2022-12-12",1430.71
"705","2023-07-18",727.41
"706","2023-12-23",9900.61
"707","2022-12-02",3291.3
"708","2023-08-02",8117.76
"709","2023-05-30",2620.94
"710","2022-11-15",6846.88
"711","2023-12-14",7626.26
"712","2024-03-08",5996.82
"713","2023-11-25",4768.6
"714","2023-01-09",4177.23
"715","2023-07-24",3553.8
"716","2023-11-24",9302.34
"717","2024-02-11",8323.13
"718","2023-08-01",9653.77
"719","2023-07-01",1330.54
"720","2023-07-12",7335.59
"721","2023-04-30",9389.57
"722","2023-06-24",1894.21
"723","2023-01-11",758.31
"724","2022-09-21",7437.09
"725","2023-09-28",5787.28
"726","2023-09-20",8434.1
"727","2024-03-06",1483.75
"728","2022-09-07",7973.15
"729","2023-05-26",2096.11
"730","2022-08-01",1720.19
"731","2024-06-07",1726.23
"732","2022-07-23",8164.29
"733","2023-02-24",6685.45
"734","2022-09-11",5278.35
"735","2023-02-28",3652.42
"736","2023-08-14",8784.29
"737","2023-10-16",3985.21
"738","2022-12-17",8184.33
"739","2024-06-09",4447.44
"740","2024-03-28",3831.75
"741","2024-01-16",4680.53
"742","2022-10-07",3083.64
"743","2022-07-16",7501.33
"744","2023-11-06",5076.93
"745","2023-11-26",2398.91
"746","2024-01-21",9005.79
"747","2023-07-08",3900.52
"748","2022-12-20",5481.17
"749","2023-05-14",9074.07
"750","2023-09-26",6279.96
"751","2023-05-18",1257.29
"752","2022-08-18",9404.34
"753","2024-01-12",6314.31
"754","2024-02-16",3415.57
"755","2024-02-23",1478.79
"756","2023-01-24",7960.85
"757","2023-10-21",6238.72
"758","2024-06-03",5381.26
"759","2023-03-10",8949.54
"760","2024-05-28",7907.11
"761","2023-10-17",1601.58
"762","2022-11-16",3186.05
"763","2024-05-15",2560.04
"764","2023-12-29",7465.07
"765","2024-02-08",431.97
"766","2022-08-01",5741.91
"767","2023-10-07",7648.34
"768","2022-09-25",8779.98
"769","2023-02-26",3486.61
"770","2022-10-31",8230.45
"771","2023-07-20",1195.25
"772","2023-03-10",8479.88
"773","2023-08-04",1362.14
"774","2023-07-12",4033.14
"775","2022-11-14",7993.22
"776","2023-02-13",1584.18
"777","2022-10-20",2369.59
"778","2024-06-30",7250.3
"779","2023-11-27",7228.36
"780","2023-03-06",6447.36
"781","2023-02-08",6970.09
"782","2024-03-04",5472.97
"783","2024-04-05",2592.81
"784","2023-11-21",3522.39
"785","2024-03-18",1897.82
"786","2024-05-25",9093.66
"787","2023-06-24",5875.58
"788","2023-08-31",4068.43
"789","2024-02-06",4673.86
"790","2023-06-20",9478.11
"791","2023-05-03",1618.18
"792","2023-11-10",5903.68
"793","2023-08-01",5108.3
"794","2023-09-04",6153.4
"795","2023-09-27",279.29
"796","2024-05-14",8734.03
"797","2023-09-16",9327.97
"798","2023-09-28",5694.82
"799","2023-03-31",6996.84
"800","2024-05-28",9232.74
"801","2024-05-23",7101.66
"802","2023-02-18",1610.14
"803","2024-05-20",5805.25
"804","2024-03-04",6106.48
"805","2024-07-01",4298.89
"806","2023-01-14",7390.8
"807","2023-01-12",9350.23
"808","2023-09-04",9263.13
"809","2023-06-19",4563.31
"810","2023-08-01",1221.06
"811","2022-09-21",9849.93
"812","2023-09-12",8405.09
"813","2024-04-25",1334.16
"814","2023-07-25",9216.33
"815","2022-09-17",8711.97
"816","2024-06-19",5236.5
"817","2024-05-15",5953.63
"818","2024-02-06",4050.13
"819","2022-08-13",642.14
"820","2023-02-19",3418.45
"821","2023-02-07",8048.25
"822","2023-01-10",145.86
"823","2022-12-27",3401.64
"824","2023-09-30",4041.87
"825","2023-10-13",5420.22
"826","2023-06-02",9206.57
"827","2024-06-24",3528.83
"828","2024-01-03",3534.84
"829","2023-03-14",7401.26
"830","2023-01-26",4576.96
"831","2023-05-20",2323.59
"832","2023-06-19",4579.15
"833","2024-01-29",1494.48
"834","2023-02-28",1846.23
"835","2022-11-05",5033.84
"836","2023-09-05",4247.36
"837","2024-01-08",9156.97
"838","2022-07-24",3687.7
"839","2023-05-04",5847.82
"840","2022-09-30",6359.42
"841","2024-05-08",229.64
"842","2022-12-15",6669.02
"843","2022-08-18",1862.56
"844","2023-02-23",9614.6
"845","2024-01-09",1571.76
"846","2023-02-19",4204.78
"847","2024-03-10",944.96
"848","2023-11-28",9969.06
"849","2024-04-21",5071.73
"850","2023-02-08",5994.31
"851","2023-06-28",764.06
"852","2023-11-29",7524.61
"853","2022-12-12",2178.07
"854","2024-06-01",8990.74
"855","2024-01-29",2130.88
"856","2022-10-07",1987.81
"857","2023-01-19",461.84
"858","2023-05-24",4773.46
"859","2023-02-25",5691.93
"860","2023-03-13",750.52
"861","2023-10-11",7777.72
"862","2024-04-02",4587.56
"863","2023-06-16",5291.46
"864","2023-09-16",4463.55
"865","2022-08-26",4067.55
"866","2023-07-27",5640.44
"867","2022-10-29",1636.88
"868","2022-09-19",1901.09
"869","2022-10-08",8631.68
"870","2023-07-11",9466.54
"871","2023-08-12",3795.76
"872","2022-11-20",2780.37
"873","2024-06-02",6475.6
"874","2023-06-06",4146.47
"875","2024-03-01",351.32
"876","2023-01-10",1645.91
"877","2022-12-30",7188.13
"878","2023-12-22",6623.35
"879","2023-07-18",368.25
"880","2023-05-09",2297.52
"881","2023-03-29",2387.64
"882","2024-05-23",6751.74
"883","2024-02-05",295.13
"884","2023-08-07",1130.67
"885","2023-05-23",8019.17
"886","2023-09-12",1867.59
"887","2023-12-21",6562.19
"888","2023-01-17",2458.01
"889","2023-08-22",1084.47
"890","2023-10-17",2507.4
"891","2023-11-08",7250.44
"892","2023-11-06",8571.4
"893","2024-07-01",8319.18
"894","2024-05-24",4032.12
"895","2023-04-22",6714.04
"896","2022-12-03",2129.34
"897","2024-04-12",3002.16
"898","2024-03-21",8973.72
"899","2024-01-22",228.72
"900","2024-05-20",946.53
"901","2024-02-08",2158.07
"902","2024-01-17",362.67
"903","2024-01-30",1896.21
"904","2022-10-12",5872.11
"905","2024-04-11",4272.1
"906","2024-01-03",8937.45
"907","2024-05-17",8192.69
"908","2023-05-23",3483.99
"909","2024-06-16",2668.29
"910","2024-02-10",3858.95
"911","2023-10-18",5943.92
"912","2024-06-12",2753.83
"913","2022-10-31",6279.07
"914","2024-05-21",4153.18
"915","2023-05-01",5565.27
"916","2023-02-23",4417.65
"917","2022-10-10",3015.21
"918","2023-09-21",9489.69
"919","2023-11-19",7659.7
"920","2023-05-16",1487.12
"921","2022-12-27",8697.83
"922","2024-03-29",4925.57
"923","2022-10-25",8956.07
"924","2022-12-24",8018.57
"925","2023-07-19",4309.61
"926","2022-07-14",322.45
"927","2022-10-07",2759.91
"928","2023-03-01",5462.18
"929","2024-04-28",6371.43
"930","2023-03-28",2653.09
"931","2023-09-11",1479.63
"932","2022-07-31",8365.81
"933","2023-05-15",9845.58
"934","2023-12-19",5304.33
"935","2022-07-25",1799.62
"936","2023-10-28",2795.84
"937","2022-07-14",282.07
"938","2024-01-30",9151.56
